System,AYUSH Name,AYUSH Code,ICD-11 TM2 Code,ICD-11 TM2 Name
Ayurveda,"atipral?pah (excessive speech, kevala-vﾄ》a)",AAB-1,SQ00,Speech disorder (mental/behavioral)
Ayurveda,"anavasthita-cittatvam (emotional instability, kevala-vﾄ》a)",AAB-2,SQ05,Emotional instability / mood disorder
Ayurveda,"a?gamarda? (body ache, kevala-vﾄ》a)",AAB-3,SP9Y,Generalized body pain
Ayurveda,"a?ga-?u?kat? (body dryness, kevala-vﾄ》a)",AAB-4,SP9Y,Dryness disorder
Ayurveda,"a?ga-vibhram?a? (limb dysfunction, kevala-vﾄ》a)",AAB-5,SP21,Loss of function of limb
Ayurveda,"rasa-jt? h?ni? (loss of taste, kevala-vﾄ》a)",AAB-7,SM1P,Loss of taste
Ayurveda,"a?abda-?rava?am (tinnitus, kevala-vﾄ》a)",AAB-8,MA80,Tinnitus
Ayurveda,"asvapna? (insomnia, kevala-vﾄ》a)",AAB-9,7A80,Insomnia
Ayurveda,"ak?i-??la? (eye pain, kevala-vﾄ》a)",AAB-12,9D90,Eye pain
Ayurveda,"ardhita? (facial paralysis, kevala-vﾄ》a)",AAB-6,8B22,Facial palsy
Ayurveda,?v?sa (dyspnoea/asthma),SHV-1,SL40,Bronchial asthma
Ayurveda,kﾄ《a (cough),KAS-1,MD12,Cough disorder
Ayurveda,prameha (diabetes mellitus),PRM-1,5A11,Type 2 diabetes mellitus
Ayurveda,k?aya roga(tuberculosis),KSY-1,1B10,Pulmonary tuberculosis
Ayurveda,jvara (fever),JVR-1,6A80,"Fever, unspecified"
Ayurveda,kﾄ［ala (jaundice/hepatitis),KML-1,SD23,"Hepatitis, unspecified"
Ayurveda,ar?as (haemorrhoids),ARS-1,SM30,Haemorrhoid disorder
Ayurveda,ku??ha (leprosy/skin disease),KST-1,1B60,Leprosy
Ayurveda,?vitra (vitiligo),SVT-1,ED20,Vitiligo
Ayurveda,p???u roga (anaemia),PND-1,3A00,"Anaemia, unspecified"
Ayurveda,udararoga (ascites/abdominal swelling),UDR-1,SD70,Ascites
Ayurveda,atisﾄ〉a (diarrhoea),ATS-1,DA01,Diarrhoea disorder
Ayurveda,graha?? (malabsorption/IBS),GRH-1,DA90,Malabsorption syndrome
Ayurveda,aruci (anorexia/loss of appetite),ARC-1,DA50,Anorexia (not eating disorder type)
Ayurveda,??la (colic pain),SUL-1,SD60,Abdominal colic disorder
Ayurveda,unmada (psychosis/insanity),UMD-1,6A80.Z,"Psychotic disorder, unspecified"
Ayurveda,apasmﾄ〉a (epilepsy),APS-1,8A60,Epilepsy
Ayurveda,mada (intoxication),MDA-1,6C4Z,Substance intoxication
Ayurveda,vi?a roga (poisoning),VIS-1,NE61,Poisoning
Ayurveda,sth?lya (obesity),STH-1,5B81,Obesity
Ayurveda,"k?aya	 (emaciation)",KSY-2,5B70,Severe weight loss / cachexia
Ayurveda,netra roga (eye disorders),NET-1,9D9Y,Other eye disorders
Ayurveda,"kar?a roga	 (ear disorders)",KRN-1,MA80,Ear disorders
Ayurveda,m?trak?cchra(dysuria/urinary disorder),MTR-1,GC80,Painful urination
Ayurveda,a?mar? (urinary calculus/stone),ASM-1,GB60,Urinary calculus
Ayurveda,udara roga (abdominal disorders),UDR-2,DA9Y,Other specified digestive disorder
Ayurveda,h?droga (cardiac disorder),HRD-1,BA00,"Heart disease, unspecified"
Ayurveda,apatanaka (seizures/fits),APT-1,8A60,Epileptic seizures
Ayurveda,"yak?t roga	(liver disorder)",YKR-1,SD20,"Liver disease, unspecified"
Ayurveda,pliha roga (spleen disorder),PLH-1,SD30,"Spleen disorder, unspecified"
Unani,Nazla (common cold/catarrh),UN-1,CA00,Acute upper respiratory infection
Unani,Zukam (rhinitis/cold),UN-2,CA01,Acute rhinitis
Unani,Sual (cough),UN-3,MD12,Cough disorder
Unani,Humma (fever),UN-4,6A80,"Fever, unspecified"
Unani,Dama (asthma),UN-5,CA40,Bronchial asthma
Unani,Tanaffus ki tangi (dyspnoea),UN-6,MD30,Shortness of breath
Unani,Qulanj (colic),UN-7,DA60,Intestinal colic
Unani,Ishaal (diarrhoea),UN-8,DA01,Diarrhoea disorder
Unani,Qai (vomiting),UN-9,DA50,Vomiting
Unani,Yarqan (jaundice),UN-10,SD23,Jaundice/hepatitis
Unani,Zo断-e-Meda (indigestion/dyspepsia),UN-11,DA90,Dyspepsia/malabsorption
Unani,Bawaseer (haemorrhoids),UN-12,SM30,Haemorrhoid disorder
